###########################################################################################
distribuições
###########################################################################################

680;1339;947;152;2438
681;1308;925;151;2384
682;1336;965;170;2471
683;1338;951;136;2425
684;1344;933;137;2414
685;1247;923;155;2325
686;1334;955;151;2440
687;1333;972;153;2458
688;1298;971;124;2393
689;1365;931;145;2441
690;1346;864;168;2378
691;1321;934;163;2418
692;1291;903;165;2359
693;1340;974;160;2474
694;1295;925;140;2360
695;1330;912;159;2401
696;1263;969;155;2387
697;1249;970;164;2383
698;1398;829;159;2386
699;1331;943;143;2417
700;1298;977;141;2416
701;1283;921;130;2334
702;1270;923;141;2334
703;1297;918;157;2372
704;1297;901;157;2355
705;1261;931;125;2317
706;1306;950;150;2406
707;1333;939;151;2423
708;1267;879;158;2304
709;1318;876;140;2334
710;1276;937;141;2354
711;1317;931;157;2405
712;1327;931;179;2437
713;1315;919;152;2386
714;1301;921;145;2367
715;1367;986;161;2514
716;1289;911;133;2333
717;1327;960;151;2438
718;1247;946;169;2362
719;1330;936;135;2401
720;1307;917;177;2401
721;1245;936;126;2307
722;1349;858;142;2349
723;1259;914;159;2332
724;1252;945;141;2338
725;1335;949;160;2444
726;1331;931;146;2408
727;1276;904;148;2328
728;1259;887;151;2297
729;1282;955;149;2386
730;1297;940;158;2395
731;1291;965;169;2425
732;1324;883;158;2365
733;1271;901;161;2333
734;1241;899;165;2305
735;1317;877;156;2350
736;1235;898;153;2286
737;1224;955;170;2349
738;1263;944;164;2371
739;1237;909;146;2292
740;1281;921;182;2384
741;1179;912;130;2221
742;1283;926;132;2341
743;1260;850;168;2278
744;1218;915;157;2290
745;1261;917;144;2322
746;1280;892;155;2327
747;1241;910;126;2277
748;1229;893;143;2265
749;1174;919;157;2250
750;1243;884;162;2289
751;1235;906;132;2273
752;1262;867;127;2256
753;1200;920;139;2259
754;1243;867;149;2259
755;1193;844;162;2199
756;1224;958;145;2327
757;1203;896;156;2255
758;1281;843;156;2280
759;1236;960;153;2349
760;1226;907;146;2279
761;1198;849;119;2166
762;1184;892;136;2212
763;1222;918;149;2289
764;1174;862;155;2191
765;1222;873;162;2257
766;1248;862;165;2275
767;1253;897;149;2299
768;1180;862;135;2177
769;1200;909;156;2265
770;1203;889;144;2236
771;1232;906;162;2300
772;1231;889;132;2252
773;1198;902;145;2245
774;1205;897;128;2230
775;1262;869;157;2288
776;1200;922;148;2270
777;1206;851;173;2230
778;1253;868;166;2287
779;1219;918;147;2284
780;1176;858;145;2179
781;1180;844;166;2190
782;1279;845;135;2259
783;1137;919;165;2221
784;1130;889;152;2171
785;1172;873;157;2202
786;1119;869;151;2139
787;1214;901;133;2248
788;1217;866;164;2247
789;1181;822;140;2143
790;1253;917;130;2300
791;1164;815;149;2128
792;1225;885;153;2263
793;1188;887;145;2220
794;1125;860;158;2143
795;1174;902;140;2216
796;1164;885;159;2208
797;1164;898;134;2196
798;1163;859;156;2178
799;1217;844;158;2219
800;1247;831;164;2242
801;1176;892;146;2214
802;1185;856;140;2181
803;1220;788;151;2159
804;1144;859;144;2147
805;1180;858;132;2170
806;1151;851;153;2155
807;1163;847;147;2157
808;1225;839;128;2192
809;1229;890;146;2265
810;1143;796;126;2065
811;1209;843;133;2185
812;1163;849;146;2158
813;1199;914;151;2264
